,Year,Quarter,Month,Day,% Units Market Share,% Units Market Share R12M
78,1999,Qtr 1,March,20,0.0%,0.00%
79,1999,Qtr 1,March,21,0.0%,0.00%
80,1999,Qtr 1,March,22,0.0%,0.00%
81,1999,Qtr 1,March,23,0.0%,0.00%
82,1999,Qtr 1,March,24,0.0%,0.00%
83,1999,Qtr 1,March,25,0.0%,0.00%
84,1999,Qtr 1,March,26,0.0%,0.00%
85,1999,Qtr 1,March,27,0.0%,0.00%
86,1999,Qtr 1,March,28,0.0%,0.00%
87,1999,Qtr 1,March,29,0.0%,0.00%
88,1999,Qtr 1,March,30,0.0%,0.00%
89,1999,Qtr 1,March,31,0.0%,0.00%
90,1999,Qtr 2,April,1,0.0%,0.00%
91,1999,Qtr 2,April,2,0.0%,0.00%
92,1999,Qtr 2,April,3,0.0%,0.00%
93,1999,Qtr 2,April,4,0.0%,0.00%
94,1999,Qtr 2,April,5,0.0%,0.00%
95,1999,Qtr 2,April,6,0.0%,0.00%
96,1999,Qtr 2,April,7,0.0%,0.00%
97,1999,Qtr 2,April,8,0.0%,0.00%
98,1999,Qtr 2,April,9,0.0%,0.00%
99,1999,Qtr 2,April,10,0.0%,0.00%
100,1999,Qtr 2,April,11,0.0%,0.00%
101,1999,Qtr 2,April,12,0.0%,0.00%
102,1999,Qtr 2,April,13,0.0%,0.00%
103,1999,Qtr 2,April,14,0.0%,0.00%
104,1999,Qtr 2,April,15,0.0%,0.00%
105,1999,Qtr 2,April,16,0.0%,0.00%
106,1999,Qtr 2,April,17,0.0%,0.00%
107,1999,Qtr 2,April,18,0.0%,0.00%
108,1999,Qtr 2,April,19,0.0%,0.00%
109,1999,Qtr 2,April,20,0.0%,0.00%
110,1999,Qtr 2,April,21,0.0%,0.00%
111,1999,Qtr 2,April,22,0.0%,0.00%
112,1999,Qtr 2,April,23,0.0%,0.00%
113,1999,Qtr 2,April,24,0.0%,0.00%
114,1999,Qtr 2,April,25,0.0%,0.00%
115,1999,Qtr 2,April,26,0.0%,0.00%
116,1999,Qtr 2,April,27,0.0%,0.00%
117,1999,Qtr 2,April,28,0.0%,0.00%
118,1999,Qtr 2,April,29,0.0%,0.00%
119,1999,Qtr 2,April,30,0.0%,0.00%
120,1999,Qtr 2,May,1,0.0%,0.00%
121,1999,Qtr 2,May,2,0.0%,0.00%
122,1999,Qtr 2,May,3,0.0%,0.00%
123,1999,Qtr 2,May,4,0.0%,0.00%
124,1999,Qtr 2,May,5,0.0%,0.00%
125,1999,Qtr 2,May,6,0.0%,0.00%
126,1999,Qtr 2,May,7,0.0%,0.00%
127,1999,Qtr 2,May,8,0.0%,0.00%
128,1999,Qtr 2,May,9,0.0%,0.00%
129,1999,Qtr 2,May,10,0.0%,0.00%
130,1999,Qtr 2,May,11,0.0%,0.00%
131,1999,Qtr 2,May,12,0.0%,0.00%
132,1999,Qtr 2,May,13,0.0%,0.00%
133,1999,Qtr 2,May,14,0.0%,0.00%
134,1999,Qtr 2,May,15,0.0%,0.00%
135,1999,Qtr 2,May,16,0.0%,0.00%
136,1999,Qtr 2,May,17,0.0%,0.00%
137,1999,Qtr 2,May,18,0.0%,0.00%
138,1999,Qtr 2,May,19,0.0%,0.00%
139,1999,Qtr 2,May,20,0.0%,0.00%
140,1999,Qtr 2,May,21,0.0%,0.00%
141,1999,Qtr 2,May,22,0.0%,0.00%
142,1999,Qtr 2,May,23,0.0%,0.00%
143,1999,Qtr 2,May,24,0.0%,0.00%
144,1999,Qtr 2,May,25,0.0%,0.00%
145,1999,Qtr 2,May,26,0.0%,0.00%
146,1999,Qtr 2,May,27,0.0%,0.00%
147,1999,Qtr 2,May,28,0.0%,0.00%
148,1999,Qtr 2,May,29,0.0%,0.00%
149,1999,Qtr 2,May,30,0.0%,0.00%
150,1999,Qtr 2,May,31,0.0%,0.00%
151,1999,Qtr 2,June,1,0.0%,0.00%
152,1999,Qtr 2,June,2,0.0%,0.00%
153,1999,Qtr 2,June,3,0.0%,0.00%
154,1999,Qtr 2,June,4,0.0%,0.00%
155,1999,Qtr 2,June,5,0.0%,0.00%
156,1999,Qtr 2,June,6,0.0%,0.00%
157,1999,Qtr 2,June,7,0.0%,0.00%
158,1999,Qtr 2,June,8,0.0%,0.00%
159,1999,Qtr 2,June,9,0.0%,0.00%
160,1999,Qtr 2,June,10,0.0%,0.00%
161,1999,Qtr 2,June,11,0.0%,0.00%
162,1999,Qtr 2,June,12,0.0%,0.00%
163,1999,Qtr 2,June,13,0.0%,0.00%
164,1999,Qtr 2,June,14,0.0%,0.00%
165,1999,Qtr 2,June,15,0.0%,0.00%
166,1999,Qtr 2,June,16,0.0%,0.00%
167,1999,Qtr 2,June,17,0.0%,0.00%
168,1999,Qtr 2,June,18,0.0%,0.00%
169,1999,Qtr 2,June,19,0.0%,0.00%
170,1999,Qtr 2,June,20,0.0%,0.00%
171,1999,Qtr 2,June,21,0.0%,0.00%
172,1999,Qtr 2,June,22,0.0%,0.00%
173,1999,Qtr 2,June,23,0.0%,0.00%
174,1999,Qtr 2,June,24,0.0%,0.00%
175,1999,Qtr 2,June,25,0.0%,0.00%
176,1999,Qtr 2,June,26,0.0%,0.00%
177,1999,Qtr 2,June,27,0.0%,0.00%
178,1999,Qtr 2,June,28,0.0%,0.00%
179,1999,Qtr 2,June,29,0.0%,0.00%
180,1999,Qtr 2,June,30,0.0%,0.00%
181,1999,Qtr 3,July,1,0.0%,0.00%
182,1999,Qtr 3,July,2,0.0%,0.00%
183,1999,Qtr 3,July,3,0.0%,0.00%
184,1999,Qtr 3,July,4,0.0%,0.00%
185,1999,Qtr 3,July,5,0.0%,0.00%
186,1999,Qtr 3,July,6,0.0%,0.00%
187,1999,Qtr 3,July,7,0.0%,0.00%
188,1999,Qtr 3,July,8,0.0%,0.00%
189,1999,Qtr 3,July,9,0.0%,0.00%
190,1999,Qtr 3,July,10,0.0%,0.00%
191,1999,Qtr 3,July,11,0.0%,0.00%
192,1999,Qtr 3,July,12,0.0%,0.00%
193,1999,Qtr 3,July,13,0.0%,0.00%
194,1999,Qtr 3,July,14,0.0%,0.00%
195,1999,Qtr 3,July,15,0.0%,0.00%
196,1999,Qtr 3,July,16,0.0%,0.00%
197,1999,Qtr 3,July,17,0.0%,0.00%
198,1999,Qtr 3,July,18,0.0%,0.00%
199,1999,Qtr 3,July,19,0.0%,0.00%
200,1999,Qtr 3,July,20,0.0%,0.00%
201,1999,Qtr 3,July,21,0.0%,0.00%
202,1999,Qtr 3,July,22,0.0%,0.00%
203,1999,Qtr 3,July,23,0.0%,0.00%
204,1999,Qtr 3,July,24,0.0%,0.00%
205,1999,Qtr 3,July,25,0.0%,0.00%
206,1999,Qtr 3,July,26,0.0%,0.00%
207,1999,Qtr 3,July,27,0.0%,0.00%
208,1999,Qtr 3,July,28,0.0%,0.00%
209,1999,Qtr 3,July,29,0.0%,0.00%
210,1999,Qtr 3,July,30,0.0%,0.00%
211,1999,Qtr 3,July,31,0.0%,0.00%
212,1999,Qtr 3,August,1,0.0%,0.00%
213,1999,Qtr 3,August,2,0.0%,0.00%
214,1999,Qtr 3,August,3,0.0%,0.00%
215,1999,Qtr 3,August,4,0.0%,0.00%
216,1999,Qtr 3,August,5,0.0%,0.00%
217,1999,Qtr 3,August,6,0.0%,0.00%
218,1999,Qtr 3,August,7,0.0%,0.00%
219,1999,Qtr 3,August,8,0.0%,0.00%
220,1999,Qtr 3,August,9,0.0%,0.00%
221,1999,Qtr 3,August,10,0.0%,0.00%
222,1999,Qtr 3,August,11,0.0%,0.00%
223,1999,Qtr 3,August,12,0.0%,0.00%
224,1999,Qtr 3,August,13,0.0%,0.00%
225,1999,Qtr 3,August,14,0.0%,0.00%
226,1999,Qtr 3,August,15,0.0%,0.00%
227,1999,Qtr 3,August,16,0.0%,0.00%
228,1999,Qtr 3,August,17,0.0%,0.00%
229,1999,Qtr 3,August,18,0.0%,0.00%
230,1999,Qtr 3,August,19,0.0%,0.00%
231,1999,Qtr 3,August,20,0.0%,0.00%
232,1999,Qtr 3,August,21,0.0%,0.00%
233,1999,Qtr 3,August,22,0.0%,0.00%
234,1999,Qtr 3,August,23,0.0%,0.00%
235,1999,Qtr 3,August,24,0.0%,0.00%
236,1999,Qtr 3,August,25,0.0%,0.00%
237,1999,Qtr 3,August,26,0.0%,0.00%
238,1999,Qtr 3,August,27,0.0%,0.00%
239,1999,Qtr 3,August,28,0.0%,0.00%
240,1999,Qtr 3,August,29,0.0%,0.00%
241,1999,Qtr 3,August,30,0.0%,0.00%
242,1999,Qtr 3,August,31,0.0%,0.00%
243,1999,Qtr 3,September,1,0.0%,0.00%
244,1999,Qtr 3,September,2,0.0%,0.00%
245,1999,Qtr 3,September,3,0.0%,0.00%
246,1999,Qtr 3,September,4,0.0%,0.00%
247,1999,Qtr 3,September,5,0.0%,0.00%
248,1999,Qtr 3,September,6,0.0%,0.00%
249,1999,Qtr 3,September,7,0.0%,0.00%
250,1999,Qtr 3,September,8,0.0%,0.00%
251,1999,Qtr 3,September,9,0.0%,0.00%
252,1999,Qtr 3,September,10,0.0%,0.00%
253,1999,Qtr 3,September,11,0.0%,0.00%
254,1999,Qtr 3,September,12,0.0%,0.00%
255,1999,Qtr 3,September,13,0.0%,0.00%
256,1999,Qtr 3,September,14,0.0%,0.00%
257,1999,Qtr 3,September,15,0.0%,0.00%
258,1999,Qtr 3,September,16,0.0%,0.00%
259,1999,Qtr 3,September,17,0.0%,0.00%
260,1999,Qtr 3,September,18,0.0%,0.00%
261,1999,Qtr 3,September,19,0.0%,0.00%
262,1999,Qtr 3,September,20,0.0%,0.00%
263,1999,Qtr 3,September,21,0.0%,0.00%
264,1999,Qtr 3,September,22,0.0%,0.00%
265,1999,Qtr 3,September,23,0.0%,0.00%
266,1999,Qtr 3,September,24,0.0%,0.00%
267,1999,Qtr 3,September,25,0.0%,0.00%
268,1999,Qtr 3,September,26,0.0%,0.00%
269,1999,Qtr 3,September,27,0.0%,0.00%
270,1999,Qtr 3,September,28,0.0%,0.00%
271,1999,Qtr 3,September,29,0.0%,0.00%
272,1999,Qtr 3,September,30,0.0%,0.00%
273,1999,Qtr 4,October,1,0.0%,0.00%
274,1999,Qtr 4,October,2,0.0%,0.00%
275,1999,Qtr 4,October,3,0.0%,0.00%
276,1999,Qtr 4,October,4,0.0%,0.00%
277,1999,Qtr 4,October,5,0.0%,0.00%
278,1999,Qtr 4,October,6,0.0%,0.00%
279,1999,Qtr 4,October,7,0.0%,0.00%
280,1999,Qtr 4,October,8,0.0%,0.00%
281,1999,Qtr 4,October,9,0.0%,0.00%
282,1999,Qtr 4,October,10,0.0%,0.00%
283,1999,Qtr 4,October,11,0.0%,0.00%
284,1999,Qtr 4,October,12,0.0%,0.00%
285,1999,Qtr 4,October,13,0.0%,0.00%
286,1999,Qtr 4,October,14,0.0%,0.00%
287,1999,Qtr 4,October,15,0.0%,0.00%
288,1999,Qtr 4,October,16,0.0%,0.00%
289,1999,Qtr 4,October,17,0.0%,0.00%
290,1999,Qtr 4,October,18,0.0%,0.00%
291,1999,Qtr 4,October,19,0.0%,0.00%
292,1999,Qtr 4,October,20,0.0%,0.00%
293,1999,Qtr 4,October,21,0.0%,0.00%
294,1999,Qtr 4,October,22,0.0%,0.00%
295,1999,Qtr 4,October,23,0.0%,0.00%
296,1999,Qtr 4,October,24,0.0%,0.00%
297,1999,Qtr 4,October,25,0.0%,0.00%
298,1999,Qtr 4,October,26,0.0%,0.00%
299,1999,Qtr 4,October,27,0.0%,0.00%
300,1999,Qtr 4,October,28,0.0%,0.00%
301,1999,Qtr 4,October,29,0.0%,0.00%
302,1999,Qtr 4,October,30,0.0%,0.00%
303,1999,Qtr 4,October,31,0.0%,0.00%
304,1999,Qtr 4,November,1,0.0%,0.00%
305,1999,Qtr 4,November,2,0.0%,0.00%
306,1999,Qtr 4,November,3,0.0%,0.00%
307,1999,Qtr 4,November,4,0.0%,0.00%
308,1999,Qtr 4,November,5,0.0%,0.00%
309,1999,Qtr 4,November,6,0.0%,0.00%
310,1999,Qtr 4,November,7,0.0%,0.00%
311,1999,Qtr 4,November,8,0.0%,0.00%
312,1999,Qtr 4,November,9,0.0%,0.00%
313,1999,Qtr 4,November,10,0.0%,0.00%
314,1999,Qtr 4,November,11,0.0%,0.00%
315,1999,Qtr 4,November,12,0.0%,0.00%
316,1999,Qtr 4,November,13,0.0%,0.00%
317,1999,Qtr 4,November,14,0.0%,0.00%
318,1999,Qtr 4,November,15,0.0%,0.00%
319,1999,Qtr 4,November,16,0.0%,0.00%
320,1999,Qtr 4,November,17,0.0%,0.00%
321,1999,Qtr 4,November,18,0.0%,0.00%
322,1999,Qtr 4,November,19,0.0%,0.00%
323,1999,Qtr 4,November,20,0.0%,0.00%
324,1999,Qtr 4,November,21,0.0%,0.00%
325,1999,Qtr 4,November,22,0.0%,0.00%
326,1999,Qtr 4,November,23,0.0%,0.00%
327,1999,Qtr 4,November,24,0.0%,0.00%
328,1999,Qtr 4,November,25,0.0%,0.00%
329,1999,Qtr 4,November,26,0.0%,0.00%
330,1999,Qtr 4,November,27,0.0%,0.00%
331,1999,Qtr 4,November,28,0.0%,0.00%
332,1999,Qtr 4,November,29,0.0%,0.00%
333,1999,Qtr 4,November,30,0.0%,0.00%
334,1999,Qtr 4,December,1,0.0%,0.00%
335,1999,Qtr 4,December,2,0.0%,0.00%
336,1999,Qtr 4,December,3,0.0%,0.00%
337,1999,Qtr 4,December,4,0.0%,0.00%
338,1999,Qtr 4,December,5,0.0%,0.00%
339,1999,Qtr 4,December,6,0.0%,0.00%
340,1999,Qtr 4,December,7,0.0%,0.00%
341,1999,Qtr 4,December,8,0.0%,0.00%
342,1999,Qtr 4,December,9,0.0%,0.00%
343,1999,Qtr 4,December,10,0.0%,0.00%
344,1999,Qtr 4,December,11,0.0%,0.00%
345,1999,Qtr 4,December,12,0.0%,0.00%
346,1999,Qtr 4,December,13,0.0%,0.00%
347,1999,Qtr 4,December,14,0.0%,0.00%
348,1999,Qtr 4,December,15,0.0%,0.00%
349,1999,Qtr 4,December,16,0.0%,0.00%
350,1999,Qtr 4,December,17,0.0%,0.00%
351,1999,Qtr 4,December,18,0.0%,0.00%
352,1999,Qtr 4,December,19,0.0%,0.00%
353,1999,Qtr 4,December,20,0.0%,0.00%
354,1999,Qtr 4,December,21,0.0%,0.00%
355,1999,Qtr 4,December,22,0.0%,0.00%
356,1999,Qtr 4,December,23,0.0%,0.00%
357,1999,Qtr 4,December,24,0.0%,0.00%
358,1999,Qtr 4,December,25,0.0%,0.00%
359,1999,Qtr 4,December,26,0.0%,0.00%
360,1999,Qtr 4,December,27,0.0%,0.00%
361,1999,Qtr 4,December,28,0.0%,0.00%
362,1999,Qtr 4,December,29,0.0%,0.00%
363,1999,Qtr 4,December,30,0.0%,0.00%
364,1999,Qtr 4,December,31,0.0%,0.00%
365,2000,Qtr 1,January,1,0.0%,0.00%
366,2000,Qtr 1,January,2,0.0%,0.00%
367,2000,Qtr 1,January,3,0.0%,0.00%
368,2000,Qtr 1,January,4,0.0%,0.00%
369,2000,Qtr 1,January,5,0.0%,0.00%
370,2000,Qtr 1,January,6,0.0%,0.00%
371,2000,Qtr 1,January,7,0.0%,0.00%
372,2000,Qtr 1,January,8,0.0%,0.00%
373,2000,Qtr 1,January,9,0.0%,0.00%
374,2000,Qtr 1,January,10,0.0%,0.00%
375,2000,Qtr 1,January,11,0.0%,0.00%
376,2000,Qtr 1,January,12,0.0%,0.00%
377,2000,Qtr 1,January,13,0.0%,0.00%
378,2000,Qtr 1,January,14,0.0%,0.00%
379,2000,Qtr 1,January,15,0.0%,0.00%
380,2000,Qtr 1,January,16,0.0%,0.00%
381,2000,Qtr 1,January,17,0.0%,0.00%
382,2000,Qtr 1,January,18,0.0%,0.00%
383,2000,Qtr 1,January,19,0.0%,0.00%
384,2000,Qtr 1,January,20,0.0%,0.00%
385,2000,Qtr 1,January,21,0.0%,0.00%
386,2000,Qtr 1,January,22,0.0%,0.00%
387,2000,Qtr 1,January,23,0.0%,0.00%
388,2000,Qtr 1,January,24,0.0%,0.00%
389,2000,Qtr 1,January,25,0.0%,0.00%
390,2000,Qtr 1,January,26,0.0%,0.00%
391,2000,Qtr 1,January,27,0.0%,0.00%
392,2000,Qtr 1,January,28,0.0%,0.00%
393,2000,Qtr 1,January,29,0.0%,0.00%
394,2000,Qtr 1,January,30,0.0%,0.00%
395,2000,Qtr 1,January,31,0.0%,0.00%
396,2000,Qtr 1,February,1,0.0%,0.00%
397,2000,Qtr 1,February,2,0.0%,0.00%
398,2000,Qtr 1,February,3,0.0%,0.00%
399,2000,Qtr 1,February,4,0.0%,0.00%
400,2000,Qtr 1,February,5,0.0%,0.00%
401,2000,Qtr 1,February,6,0.0%,0.00%
402,2000,Qtr 1,February,7,0.0%,0.00%
403,2000,Qtr 1,February,8,0.0%,0.00%
404,2000,Qtr 1,February,9,0.0%,0.00%
405,2000,Qtr 1,February,10,0.0%,0.00%
406,2000,Qtr 1,February,11,0.0%,0.00%
407,2000,Qtr 1,February,12,0.0%,0.00%
408,2000,Qtr 1,February,13,0.0%,0.00%
409,2000,Qtr 1,February,14,0.0%,0.00%
410,2000,Qtr 1,February,15,0.0%,0.00%
411,2000,Qtr 1,February,16,0.0%,0.00%
412,2000,Qtr 1,February,17,0.0%,0.00%
413,2000,Qtr 1,February,18,0.0%,0.00%
414,2000,Qtr 1,February,19,0.0%,0.00%
415,2000,Qtr 1,February,20,0.0%,0.00%
416,2000,Qtr 1,February,21,0.0%,0.00%
417,2000,Qtr 1,February,22,0.0%,0.00%
418,2000,Qtr 1,February,23,0.0%,0.00%
419,2000,Qtr 1,February,24,0.0%,0.00%
420,2000,Qtr 1,February,25,0.0%,0.00%
421,2000,Qtr 1,February,26,0.0%,0.00%
422,2000,Qtr 1,February,27,0.0%,0.00%
423,2000,Qtr 1,February,28,0.0%,0.00%
424,2000,Qtr 1,February,29,0.0%,0.00%
425,2000,Qtr 1,March,1,0.0%,0.00%
426,2000,Qtr 1,March,2,0.0%,0.00%
427,2000,Qtr 1,March,3,0.0%,0.00%
428,2000,Qtr 1,March,4,0.0%,0.00%
429,2000,Qtr 1,March,5,0.0%,0.00%
430,2000,Qtr 1,March,6,0.0%,0.00%
431,2000,Qtr 1,March,7,0.0%,0.00%
432,2000,Qtr 1,March,8,0.0%,0.00%
433,2000,Qtr 1,March,9,0.0%,0.00%
434,2000,Qtr 1,March,10,0.0%,0.00%
435,2000,Qtr 1,March,11,0.0%,0.00%
436,2000,Qtr 1,March,12,0.0%,0.00%
437,2000,Qtr 1,March,13,0.0%,0.00%
438,2000,Qtr 1,March,14,0.0%,0.00%
439,2000,Qtr 1,March,15,0.0%,0.00%
440,2000,Qtr 1,March,16,0.0%,0.00%
441,2000,Qtr 1,March,17,0.0%,0.00%
442,2000,Qtr 1,March,18,0.0%,0.00%
443,2000,Qtr 1,March,19,0.0%,0.00%
444,2000,Qtr 1,March,20,0.0%,0.00%
445,2000,Qtr 1,March,21,0.0%,0.00%
446,2000,Qtr 1,March,22,0.0%,0.00%
447,2000,Qtr 1,March,23,0.0%,0.00%
448,2000,Qtr 1,March,24,0.0%,0.00%
449,2000,Qtr 1,March,25,0.0%,0.00%
450,2000,Qtr 1,March,26,0.0%,0.00%
451,2000,Qtr 1,March,27,0.0%,0.00%
452,2000,Qtr 1,March,28,0.0%,0.00%
453,2000,Qtr 1,March,29,0.0%,0.00%
454,2000,Qtr 1,March,30,0.0%,0.00%
455,2000,Qtr 1,March,31,0.0%,0.00%
456,2000,Qtr 2,April,1,0.0%,0.00%
457,2000,Qtr 2,April,2,0.0%,0.00%
458,2000,Qtr 2,April,3,0.0%,0.00%
459,2000,Qtr 2,April,4,0.0%,0.00%
460,2000,Qtr 2,April,5,0.0%,0.00%
461,2000,Qtr 2,April,6,0.0%,0.00%
462,2000,Qtr 2,April,7,0.0%,0.00%
463,2000,Qtr 2,April,8,0.0%,0.00%
464,2000,Qtr 2,April,9,0.0%,0.00%
465,2000,Qtr 2,April,10,0.0%,0.00%
466,2000,Qtr 2,April,11,0.0%,0.00%
467,2000,Qtr 2,April,12,0.0%,0.00%
468,2000,Qtr 2,April,13,0.0%,0.00%
469,2000,Qtr 2,April,14,0.0%,0.00%
470,2000,Qtr 2,April,15,0.0%,0.00%
471,2000,Qtr 2,April,16,0.0%,0.00%
472,2000,Qtr 2,April,17,0.0%,0.00%
473,2000,Qtr 2,April,18,0.0%,0.00%
474,2000,Qtr 2,April,19,0.0%,0.00%
475,2000,Qtr 2,April,20,0.0%,0.00%
476,2000,Qtr 2,April,21,0.0%,0.00%
477,2000,Qtr 2,April,22,0.0%,0.00%
478,2000,Qtr 2,April,23,0.0%,0.00%
479,2000,Qtr 2,April,24,0.0%,0.00%
480,2000,Qtr 2,April,25,0.0%,0.00%
481,2000,Qtr 2,April,26,0.0%,0.00%
482,2000,Qtr 2,April,27,0.0%,0.00%
483,2000,Qtr 2,April,28,0.0%,0.00%
484,2000,Qtr 2,April,29,0.0%,0.00%
485,2000,Qtr 2,April,30,0.0%,0.00%
486,2000,Qtr 2,May,1,0.0%,0.00%
487,2000,Qtr 2,May,2,0.0%,0.00%
488,2000,Qtr 2,May,3,0.0%,0.00%
489,2000,Qtr 2,May,4,0.0%,0.00%
490,2000,Qtr 2,May,5,0.0%,0.00%
491,2000,Qtr 2,May,6,0.0%,0.00%
492,2000,Qtr 2,May,7,0.0%,0.00%
493,2000,Qtr 2,May,8,0.0%,0.00%
494,2000,Qtr 2,May,9,0.0%,0.00%
495,2000,Qtr 2,May,10,0.0%,0.00%
496,2000,Qtr 2,May,11,0.0%,0.00%
497,2000,Qtr 2,May,12,0.0%,0.00%
498,2000,Qtr 2,May,13,0.0%,0.00%
499,2000,Qtr 2,May,14,0.0%,0.00%
500,2000,Qtr 2,May,15,0.0%,0.00%
501,2000,Qtr 2,May,16,0.0%,0.00%
502,2000,Qtr 2,May,17,0.0%,0.00%
503,2000,Qtr 2,May,18,0.0%,0.00%
504,2000,Qtr 2,May,19,0.0%,0.00%
505,2000,Qtr 2,May,20,0.0%,0.00%
506,2000,Qtr 2,May,21,0.0%,0.00%
507,2000,Qtr 2,May,22,0.0%,0.00%
508,2000,Qtr 2,May,23,0.0%,0.00%
509,2000,Qtr 2,May,24,0.0%,0.00%
510,2000,Qtr 2,May,25,0.0%,0.00%
511,2000,Qtr 2,May,26,0.0%,0.00%
512,2000,Qtr 2,May,27,0.0%,0.00%
513,2000,Qtr 2,May,28,0.0%,0.00%
514,2000,Qtr 2,May,29,0.0%,0.00%
515,2000,Qtr 2,May,30,0.0%,0.00%
516,2000,Qtr 2,May,31,0.0%,0.00%
517,2000,Qtr 2,June,1,0.0%,0.00%
518,2000,Qtr 2,June,2,0.0%,0.00%
519,2000,Qtr 2,June,3,0.0%,0.00%
520,2000,Qtr 2,June,4,0.0%,0.00%
521,2000,Qtr 2,June,5,0.0%,0.00%
522,2000,Qtr 2,June,6,0.0%,0.00%
523,2000,Qtr 2,June,7,0.0%,0.00%
524,2000,Qtr 2,June,8,0.0%,0.00%
525,2000,Qtr 2,June,9,0.0%,0.00%
526,2000,Qtr 2,June,10,0.0%,0.00%
527,2000,Qtr 2,June,11,0.0%,0.00%
528,2000,Qtr 2,June,12,0.0%,0.00%
529,2000,Qtr 2,June,13,0.0%,0.00%
530,2000,Qtr 2,June,14,0.0%,0.00%
531,2000,Qtr 2,June,15,0.0%,0.00%
532,2000,Qtr 2,June,16,0.0%,0.00%
533,2000,Qtr 2,June,17,0.0%,0.00%
534,2000,Qtr 2,June,18,0.0%,0.00%
