,Year,Month,Day,isVanArsdel,Total Units
148,2013,March,16,No,1
149,2013,March,16,Yes,10
150,2013,March,17,No,33
151,2013,March,17,Yes,41
152,2013,March,18,No,38
153,2013,March,18,Yes,31
154,2013,March,19,No,41
155,2013,March,19,Yes,25
156,2013,March,20,No,44
157,2013,March,20,Yes,27
158,2013,March,21,No,48
159,2013,March,21,Yes,38
160,2013,March,22,No,23
161,2013,March,22,Yes,51
162,2013,March,23,No,1
163,2013,March,23,Yes,9
164,2013,March,24,No,34
165,2013,March,24,Yes,45
166,2013,March,25,No,48
167,2013,March,25,Yes,80
168,2013,March,26,No,41
169,2013,March,26,Yes,39
170,2013,March,27,No,44
171,2013,March,27,Yes,46
172,2013,March,28,No,64
173,2013,March,28,Yes,76
174,2013,March,29,No,132
175,2013,March,29,Yes,106
176,2013,March,30,No,21
177,2013,March,30,Yes,50
178,2013,April,1,No,11
179,2013,April,1,Yes,11
180,2013,April,2,No,26
181,2013,April,2,Yes,28
182,2013,April,3,No,19
183,2013,April,3,Yes,19
184,2013,April,4,No,29
185,2013,April,4,Yes,28
186,2013,April,5,No,22
187,2013,April,5,Yes,34
188,2013,April,6,No,15
189,2013,April,6,Yes,27
190,2013,April,7,Yes,12
191,2013,April,8,No,24
192,2013,April,8,Yes,36
193,2013,April,9,No,29
194,2013,April,9,Yes,38
195,2013,April,10,No,29
196,2013,April,10,Yes,31
197,2013,April,11,No,25
198,2013,April,11,Yes,29
199,2013,April,12,No,30
200,2013,April,12,Yes,28
201,2013,April,13,No,16
202,2013,April,13,Yes,35
203,2013,April,14,Yes,18
204,2013,April,15,No,15
205,2013,April,15,Yes,38
206,2013,April,16,No,40
207,2013,April,16,Yes,24
208,2013,April,17,No,30
209,2013,April,17,Yes,39
210,2013,April,18,No,35
211,2013,April,18,Yes,26
212,2013,April,19,No,28
213,2013,April,19,Yes,37
214,2013,April,20,No,22
215,2013,April,20,Yes,37
216,2013,April,21,No,1
217,2013,April,21,Yes,8
218,2013,April,22,No,32
219,2013,April,22,Yes,34
220,2013,April,23,No,36
221,2013,April,23,Yes,50
222,2013,April,24,No,30
223,2013,April,24,Yes,33
224,2013,April,25,No,33
225,2013,April,25,Yes,39
226,2013,April,26,No,40
227,2013,April,26,Yes,29
228,2013,April,27,No,24
229,2013,April,27,Yes,32
230,2013,April,28,No,4
231,2013,April,28,Yes,8
232,2013,April,29,No,25
233,2013,April,29,Yes,30
234,2013,April,30,No,135
235,2013,April,30,Yes,129
236,2013,May,1,No,7
237,2013,May,1,Yes,13
238,2013,May,2,No,15
239,2013,May,2,Yes,19
240,2013,May,3,No,11
241,2013,May,3,Yes,19
242,2013,May,4,Yes,7
243,2013,May,5,No,10
244,2013,May,5,Yes,30
245,2013,May,6,No,25
246,2013,May,6,Yes,32
247,2013,May,7,No,20
248,2013,May,7,Yes,18
249,2013,May,8,No,21
250,2013,May,8,Yes,22
251,2013,May,9,No,21
252,2013,May,9,Yes,17
253,2013,May,10,No,14
254,2013,May,10,Yes,18
255,2013,May,11,Yes,4
256,2013,May,12,No,24
257,2013,May,12,Yes,31
258,2013,May,13,No,16
259,2013,May,13,Yes,36
260,2013,May,14,No,19
261,2013,May,14,Yes,18
262,2013,May,15,No,22
263,2013,May,15,Yes,21
264,2013,May,16,No,20
265,2013,May,16,Yes,16
266,2013,May,17,No,12
267,2013,May,17,Yes,26
268,2013,May,18,No,3
269,2013,May,18,Yes,7
270,2013,May,19,No,19
271,2013,May,19,Yes,24
272,2013,May,20,No,39
273,2013,May,20,Yes,31
274,2013,May,21,No,26
275,2013,May,21,Yes,27
276,2013,May,22,No,1
277,2013,May,23,No,20
278,2013,May,23,Yes,25
279,2013,May,24,No,17
280,2013,May,24,Yes,27
281,2013,May,25,No,1
282,2013,May,25,Yes,7
283,2013,May,26,No,15
284,2013,May,26,Yes,39
285,2013,May,27,No,32
286,2013,May,27,Yes,43
287,2013,May,28,No,34
288,2013,May,28,Yes,39
289,2013,May,29,No,33
290,2013,May,29,Yes,29
291,2013,May,30,No,84
292,2013,May,30,Yes,92
293,2013,June,1,No,9
294,2013,June,1,Yes,20
295,2013,June,2,Yes,4
296,2013,June,3,No,8
297,2013,June,3,Yes,15
298,2013,June,4,No,6
299,2013,June,4,Yes,23
300,2013,June,5,No,18
301,2013,June,5,Yes,15
302,2013,June,6,No,25
303,2013,June,6,Yes,17
304,2013,June,7,No,30
305,2013,June,7,Yes,16
306,2013,June,8,No,7
307,2013,June,8,Yes,19
308,2013,June,9,No,3
309,2013,June,9,Yes,4
310,2013,June,10,No,30
311,2013,June,10,Yes,20
312,2013,June,11,No,31
313,2013,June,11,Yes,30
314,2013,June,12,No,22
315,2013,June,12,Yes,22
316,2013,June,13,No,22
317,2013,June,13,Yes,20
318,2013,June,14,No,24
319,2013,June,14,Yes,21
320,2013,June,15,No,16
321,2013,June,15,Yes,49
322,2013,June,16,No,2
323,2013,June,16,Yes,5
324,2013,June,17,No,23
325,2013,June,17,Yes,20
326,2013,June,18,No,27
327,2013,June,18,Yes,37
328,2013,June,19,No,24
329,2013,June,19,Yes,21
330,2013,June,20,No,27
331,2013,June,20,Yes,22
332,2013,June,21,No,34
333,2013,June,21,Yes,40
334,2013,June,22,No,25
335,2013,June,22,Yes,32
336,2013,June,23,Yes,7
337,2013,June,24,No,15
338,2013,June,24,Yes,26
339,2013,June,25,No,1
340,2013,June,26,No,39
341,2013,June,26,Yes,29
342,2013,June,27,No,28
343,2013,June,27,Yes,33
344,2013,June,28,No,41
345,2013,June,28,Yes,32
346,2013,June,29,No,51
347,2013,June,29,Yes,46
348,2013,June,30,No,59
349,2013,June,30,Yes,86
350,2013,July,1,Yes,1
351,2013,July,2,No,6
352,2013,July,2,Yes,11
353,2013,July,3,No,10
354,2013,July,3,Yes,7
355,2013,July,4,No,9
356,2013,July,4,Yes,11
357,2013,July,5,No,8
358,2013,July,5,Yes,24
359,2013,July,6,No,1
360,2013,July,6,Yes,2
361,2013,July,7,No,15
362,2013,July,7,Yes,27
363,2013,July,8,No,9
364,2013,July,8,Yes,27
365,2013,July,9,No,15
366,2013,July,9,Yes,23
367,2013,July,10,No,11
368,2013,July,10,Yes,13
369,2013,July,11,No,19
370,2013,July,11,Yes,20
371,2013,July,12,No,10
372,2013,July,12,Yes,24
373,2013,July,13,No,1
374,2013,July,13,Yes,8
375,2013,July,14,No,10
376,2013,July,14,Yes,33
377,2013,July,15,No,24
378,2013,July,15,Yes,45
379,2013,July,16,No,16
380,2013,July,16,Yes,21
381,2013,July,17,No,13
382,2013,July,17,Yes,18
383,2013,July,18,No,18
384,2013,July,18,Yes,17
385,2013,July,19,No,7
386,2013,July,19,Yes,32
387,2013,July,20,Yes,6
388,2013,July,21,No,13
389,2013,July,21,Yes,31
390,2013,July,22,No,25
391,2013,July,22,Yes,47
392,2013,July,23,No,31
393,2013,July,23,Yes,27
394,2013,July,24,No,23
395,2013,July,24,Yes,35
396,2013,July,25,No,28
397,2013,July,25,Yes,25
398,2013,July,26,No,14
399,2013,July,26,Yes,17
400,2013,July,27,No,2
401,2013,July,27,Yes,12
402,2013,July,28,No,14
403,2013,July,28,Yes,31
404,2013,July,29,No,43
405,2013,July,29,Yes,41
406,2013,July,30,No,35
407,2013,July,30,Yes,39
408,2013,July,31,No,77
409,2013,July,31,Yes,102
410,2013,August,1,No,10
411,2013,August,1,Yes,18
412,2013,August,2,No,17
413,2013,August,2,Yes,16
414,2013,August,3,No,1
415,2013,August,3,Yes,11
416,2013,August,4,No,17
417,2013,August,4,Yes,18
418,2013,August,5,No,30
419,2013,August,5,Yes,31
420,2013,August,6,No,23
421,2013,August,6,Yes,30
422,2013,August,7,No,22
423,2013,August,7,Yes,24
424,2013,August,8,No,33
425,2013,August,8,Yes,30
426,2013,August,9,No,20
427,2013,August,9,Yes,25
428,2013,August,10,Yes,13
429,2013,August,11,No,20
430,2013,August,11,Yes,33
431,2013,August,12,No,37
432,2013,August,12,Yes,45
433,2013,August,13,No,29
434,2013,August,13,Yes,30
435,2013,August,14,No,25
436,2013,August,14,Yes,31
437,2013,August,15,No,36
438,2013,August,15,Yes,60
439,2013,August,16,No,27
440,2013,August,16,Yes,25
441,2013,August,17,Yes,10
442,2013,August,18,No,18
443,2013,August,18,Yes,37
444,2013,August,19,No,48
445,2013,August,19,Yes,53
446,2013,August,20,No,30
447,2013,August,20,Yes,32
448,2013,August,21,No,36
449,2013,August,21,Yes,34
450,2013,August,22,No,43
451,2013,August,22,Yes,40
452,2013,August,23,No,29
453,2013,August,23,Yes,50
454,2013,August,24,Yes,12
455,2013,August,25,No,33
456,2013,August,25,Yes,53
457,2013,August,26,No,66
458,2013,August,26,Yes,71
459,2013,August,27,No,63
460,2013,August,27,Yes,48
461,2013,August,28,No,111
462,2013,August,28,Yes,133
463,2013,September,1,No,20
464,2013,September,1,Yes,21
465,2013,September,2,No,15
466,2013,September,2,Yes,25
467,2013,September,3,Yes,10
468,2013,September,4,No,18
469,2013,September,4,Yes,32
470,2013,September,5,No,48
471,2013,September,5,Yes,37
472,2013,September,6,No,41
473,2013,September,6,Yes,26
474,2013,September,7,No,37
475,2013,September,7,Yes,33
476,2013,September,8,No,41
477,2013,September,8,Yes,38
478,2013,September,9,No,40
479,2013,September,9,Yes,54
480,2013,September,10,No,1
481,2013,September,10,Yes,14
482,2013,September,11,No,73
483,2013,September,11,Yes,55
484,2013,September,12,No,74
485,2013,September,12,Yes,70
486,2013,September,13,No,52
487,2013,September,13,Yes,41
488,2013,September,14,No,53
489,2013,September,14,Yes,50
490,2013,September,15,No,71
491,2013,September,15,Yes,79
492,2013,September,16,No,26
493,2013,September,16,Yes,44
494,2013,September,17,No,3
495,2013,September,17,Yes,24
496,2013,September,18,No,44
497,2013,September,18,Yes,72
498,2013,September,19,No,74
499,2013,September,19,Yes,62
500,2013,September,20,No,64
501,2013,September,20,Yes,43
502,2013,September,21,No,54
503,2013,September,21,Yes,49
504,2013,September,22,No,60
505,2013,September,22,Yes,50
506,2013,September,23,No,36
507,2013,September,23,Yes,53
508,2013,September,24,No,4
509,2013,September,24,Yes,13
510,2013,September,25,No,54
511,2013,September,25,Yes,59
512,2013,September,26,No,82
513,2013,September,26,Yes,61
514,2013,September,27,No,90
515,2013,September,27,Yes,48
516,2013,September,28,No,90
517,2013,September,28,Yes,66
518,2013,September,29,No,131
519,2013,September,29,Yes,101
520,2013,September,30,No,262
521,2013,September,30,Yes,203
522,2013,October,1,No,20
523,2013,October,1,Yes,15
524,2013,October,2,No,27
525,2013,October,2,Yes,24
526,2013,October,3,No,31
527,2013,October,3,Yes,30
528,2013,October,4,No,38
529,2013,October,4,Yes,42
530,2013,October,5,No,63
531,2013,October,5,Yes,40
532,2013,October,6,No,34
533,2013,October,6,Yes,44
534,2013,October,7,No,2
535,2013,October,7,Yes,15
536,2013,October,8,No,67
537,2013,October,8,Yes,75
538,2013,October,9,No,68
539,2013,October,9,Yes,84
540,2013,October,10,No,54
541,2013,October,10,Yes,49
542,2013,October,11,No,61
543,2013,October,11,Yes,48
544,2013,October,12,No,76
545,2013,October,12,Yes,61
546,2013,October,13,No,49
547,2013,October,13,Yes,87
548,2013,October,14,No,4
549,2013,October,14,Yes,34
550,2013,October,15,No,75
551,2013,October,15,Yes,91
552,2013,October,16,No,70
553,2013,October,16,Yes,72
554,2013,October,17,No,66
555,2013,October,17,Yes,60
556,2013,October,18,No,69
557,2013,October,18,Yes,36
558,2013,October,19,No,60
559,2013,October,19,Yes,45
560,2013,October,20,No,39
561,2013,October,20,Yes,54
562,2013,October,21,No,4
563,2013,October,21,Yes,17
564,2013,October,22,No,66
565,2013,October,22,Yes,67
566,2013,October,23,No,91
567,2013,October,23,Yes,75
568,2013,October,24,No,103
569,2013,October,24,Yes,50
570,2013,October,25,No,73
571,2013,October,25,Yes,70
572,2013,October,26,No,76
573,2013,October,26,Yes,65
574,2013,October,27,No,53
575,2013,October,27,Yes,65
576,2013,October,28,No,6
577,2013,October,28,Yes,25
578,2013,October,29,No,113
579,2013,October,29,Yes,107
580,2013,October,30,No,343
581,2013,October,30,Yes,187
582,2013,November,1,No,42
583,2013,November,1,Yes,21
584,2013,November,2,No,37
585,2013,November,2,Yes,35
586,2013,November,3,No,47
587,2013,November,3,Yes,35
588,2013,November,4,No,37
589,2013,November,4,Yes,49
590,2013,November,5,No,1
591,2013,November,5,Yes,30
592,2013,November,6,No,48
593,2013,November,6,Yes,47
594,2013,November,7,No,94
595,2013,November,7,Yes,85
596,2013,November,8,No,75
597,2013,November,8,Yes,53
598,2013,November,9,No,66
599,2013,November,9,Yes,52
600,2013,November,10,No,67
601,2013,November,10,Yes,86
602,2013,November,11,No,61
603,2013,November,11,Yes,60
604,2013,November,12,No,4
605,2013,November,12,Yes,21
606,2013,November,13,No,74
607,2013,November,13,Yes,81
608,2013,November,14,No,93
609,2013,November,14,Yes,88
610,2013,November,15,No,88
611,2013,November,15,Yes,114
612,2013,November,16,No,67
613,2013,November,16,Yes,37
614,2013,November,17,No,76
615,2013,November,17,Yes,63
616,2013,November,18,No,48
617,2013,November,18,Yes,39
618,2013,November,19,No,2
619,2013,November,19,Yes,20
620,2013,November,20,No,70
621,2013,November,20,Yes,69
622,2013,November,21,No,106
623,2013,November,21,Yes,68
624,2013,November,22,No,88
625,2013,November,22,Yes,48
626,2013,November,23,No,78
627,2013,November,23,Yes,51
628,2013,November,24,No,88
629,2013,November,24,Yes,59
630,2013,November,25,No,64
631,2013,November,25,Yes,62
632,2013,November,26,No,5
633,2013,November,26,Yes,18
634,2013,November,27,No,10
635,2013,November,27,Yes,44
636,2013,November,28,No,125
637,2013,November,28,Yes,136
638,2013,November,29,No,111
639,2013,November,29,Yes,80
640,2013,November,30,No,402
641,2013,November,30,Yes,279
642,2013,December,1,No,21
643,2013,December,1,Yes,30
644,2013,December,2,No,1
645,2013,December,2,Yes,11
646,2013,December,3,No,34
647,2013,December,3,Yes,51
648,2013,December,4,No,46
649,2013,December,4,Yes,67
650,2013,December,5,No,49
651,2013,December,5,Yes,53
652,2013,December,6,No,46
653,2013,December,6,Yes,34
654,2013,December,7,No,69
655,2013,December,7,Yes,51
656,2013,December,8,No,37
657,2013,December,8,Yes,81
658,2013,December,9,No,5
659,2013,December,9,Yes,21
660,2013,December,10,No,51
661,2013,December,10,Yes,70
662,2013,December,11,No,80
663,2013,December,11,Yes,91
664,2013,December,12,No,54
665,2013,December,12,Yes,55
666,2013,December,13,No,57
667,2013,December,13,Yes,56
668,2013,December,14,No,57
669,2013,December,14,Yes,77
670,2013,December,15,No,54
671,2013,December,15,Yes,98
672,2013,December,16,No,4
673,2013,December,16,Yes,20
674,2013,December,17,No,55
675,2013,December,17,Yes,75
676,2013,December,18,No,74
677,2013,December,18,Yes,71
678,2013,December,19,No,56
679,2013,December,19,Yes,51
680,2013,December,20,No,69
681,2013,December,20,Yes,62
682,2013,December,21,No,66
683,2013,December,21,Yes,61
684,2013,December,22,No,46
685,2013,December,22,Yes,64
686,2013,December,23,No,2
687,2013,December,23,Yes,30
688,2013,December,24,No,59
689,2013,December,24,Yes,75
690,2013,December,25,No,96
691,2013,December,25,Yes,95
692,2013,December,26,No,78
693,2013,December,26,Yes,55
694,2013,December,27,No,86
695,2013,December,27,Yes,80
696,2013,December,28,No,142
697,2013,December,28,Yes,97
698,2013,December,29,No,225
699,2013,December,29,Yes,169
700,2013,December,30,No,29
701,2013,December,30,Yes,101
702,2014,January,1,No,22
703,2014,January,1,Yes,17
704,2014,January,2,No,39
705,2014,January,2,Yes,35
706,2014,January,3,No,32
707,2014,January,3,Yes,43
708,2014,January,4,No,4
709,2014,January,4,Yes,7
710,2014,January,5,No,37
711,2014,January,5,Yes,45
712,2014,January,6,No,42
713,2014,January,6,Yes,68
714,2014,January,7,No,4
715,2014,January,7,Yes,15
716,2014,January,8,No,50
717,2014,January,8,Yes,60
718,2014,January,9,No,64
719,2014,January,9,Yes,54
720,2014,January,10,No,39
721,2014,January,10,Yes,79
722,2014,January,11,No,69
723,2014,January,11,Yes,40
724,2014,January,12,No,58
725,2014,January,12,Yes,69
726,2014,January,13,No,58
727,2014,January,13,Yes,58
728,2014,January,14,No,3
729,2014,January,14,Yes,31
730,2014,January,15,No,35
731,2014,January,15,Yes,102
732,2014,January,16,No,60
733,2014,January,16,Yes,42
734,2014,January,17,No,68
735,2014,January,17,Yes,40
736,2014,January,18,No,57
737,2014,January,18,Yes,39
738,2014,January,19,No,65
739,2014,January,19,Yes,43
740,2014,January,20,No,41
741,2014,January,20,Yes,56
742,2014,January,21,No,1
743,2014,January,21,Yes,19
744,2014,January,22,No,52
745,2014,January,22,Yes,73
746,2014,January,23,No,81
747,2014,January,23,Yes,57
748,2014,January,24,No,65
749,2014,January,24,Yes,42
750,2014,January,25,No,64
751,2014,January,25,Yes,58
752,2014,January,26,No,65
753,2014,January,26,Yes,52
754,2014,January,27,No,45
755,2014,January,27,Yes,49
756,2014,January,28,No,5
757,2014,January,28,Yes,25
758,2014,January,29,No,58
759,2014,January,29,Yes,79
760,2014,January,30,No,80
761,2014,January,30,Yes,94
762,2014,January,31,No,200
763,2014,January,31,Yes,162
764,2014,February,1,No,31
765,2014,February,1,Yes,18
766,2014,February,2,No,35
767,2014,February,2,Yes,24
768,2014,February,3,No,26
769,2014,February,3,Yes,38
770,2014,February,4,Yes,16
771,2014,February,5,No,48
772,2014,February,5,Yes,45
773,2014,February,6,No,42
774,2014,February,6,Yes,47
775,2014,February,7,No,56
776,2014,February,7,Yes,48
777,2014,February,8,No,46
778,2014,February,8,Yes,33
779,2014,February,9,No,43
780,2014,February,9,Yes,32
781,2014,February,10,No,33
782,2014,February,10,Yes,46
783,2014,February,11,No,1
784,2014,February,11,Yes,16
785,2014,February,12,No,42
786,2014,February,12,Yes,50
787,2014,February,13,No,64
788,2014,February,13,Yes,45
789,2014,February,14,No,46
790,2014,February,14,Yes,56
791,2014,February,15,No,49
792,2014,February,15,Yes,70
793,2014,February,16,No,56
794,2014,February,16,Yes,37
795,2014,February,17,No,35
796,2014,February,17,Yes,39
797,2014,February,18,No,4
798,2014,February,18,Yes,9
799,2014,February,19,No,56
800,2014,February,19,Yes,48
801,2014,February,20,No,54
802,2014,February,20,Yes,46
803,2014,February,21,No,63
804,2014,February,21,Yes,30
805,2014,February,22,No,54
806,2014,February,22,Yes,40
807,2014,February,23,No,77
808,2014,February,23,Yes,54
809,2014,February,24,No,37
810,2014,February,24,Yes,68
811,2014,February,25,No,1
812,2014,February,25,Yes,24
813,2014,February,26,No,52
814,2014,February,26,Yes,80
815,2014,February,27,No,77
816,2014,February,27,Yes,108
817,2014,February,28,No,399
818,2014,February,28,Yes,454
819,2014,March,1,No,3
820,2014,March,1,Yes,8
821,2014,March,2,No,4
822,2014,March,2,Yes,3
823,2014,March,3,No,24
824,2014,March,3,Yes,30
825,2014,March,4,No,33
826,2014,March,4,Yes,36
827,2014,March,5,No,22
828,2014,March,5,Yes,36
829,2014,March,6,No,38
830,2014,March,6,Yes,42
831,2014,March,7,No,29
832,2014,March,7,Yes,61
833,2014,March,8,No,3
834,2014,March,8,Yes,20
835,2014,March,9,No,46
836,2014,March,9,Yes,55
837,2014,March,10,No,55
838,2014,March,10,Yes,58
839,2014,March,11,No,47
840,2014,March,11,Yes,41
841,2014,March,12,No,47
842,2014,March,12,Yes,49
843,2014,March,13,No,39
844,2014,March,13,Yes,81
845,2014,March,14,No,19
846,2014,March,14,Yes,104
847,2014,March,15,No,3
848,2014,March,15,Yes,55
849,2014,March,16,No,52
850,2014,March,16,Yes,36
851,2014,March,17,No,43
852,2014,March,17,Yes,34
853,2014,March,18,No,59
854,2014,March,18,Yes,36
855,2014,March,19,No,41
856,2014,March,19,Yes,37
857,2014,March,20,No,26
858,2014,March,20,Yes,60
859,2014,March,21,No,26
860,2014,March,21,Yes,56
861,2014,March,22,No,6
862,2014,March,22,Yes,18
863,2014,March,23,No,39
864,2014,March,23,Yes,50
865,2014,March,24,No,43
866,2014,March,24,Yes,60
867,2014,March,25,No,46
868,2014,March,25,Yes,48
869,2014,March,26,No,46
870,2014,March,26,Yes,51
871,2014,March,27,No,60
872,2014,March,27,Yes,68
873,2014,March,28,No,61
874,2014,March,28,Yes,73
875,2014,March,29,No,5
876,2014,March,29,Yes,32
877,2014,March,30,No,143
878,2014,March,30,Yes,139
879,2014,April,1,No,29
880,2014,April,1,Yes,23
881,2014,April,2,No,21
882,2014,April,2,Yes,21
883,2014,April,3,No,31
884,2014,April,3,Yes,22
885,2014,April,4,No,37
886,2014,April,4,Yes,35
887,2014,April,5,No,21
888,2014,April,5,Yes,29
889,2014,April,6,No,1
890,2014,April,6,Yes,8
891,2014,April,7,No,23
892,2014,April,7,Yes,42
893,2014,April,8,No,39
894,2014,April,8,Yes,41
895,2014,April,9,No,45
896,2014,April,9,Yes,42
897,2014,April,10,No,29
898,2014,April,10,Yes,27
899,2014,April,11,No,36
900,2014,April,11,Yes,69
901,2014,April,12,No,30
902,2014,April,12,Yes,29
903,2014,April,13,No,2
904,2014,April,13,Yes,15
905,2014,April,14,No,25
906,2014,April,14,Yes,70
907,2014,April,15,No,37
908,2014,April,15,Yes,70
909,2014,April,16,No,34
910,2014,April,16,Yes,23
911,2014,April,17,No,29
912,2014,April,17,Yes,21
913,2014,April,18,No,32
914,2014,April,18,Yes,18
915,2014,April,19,No,32
916,2014,April,19,Yes,23
917,2014,April,20,No,1
918,2014,April,20,Yes,5
919,2014,April,21,No,32
920,2014,April,21,Yes,30
921,2014,April,22,No,45
922,2014,April,22,Yes,46
923,2014,April,23,No,26
924,2014,April,23,Yes,37
925,2014,April,24,No,31
926,2014,April,24,Yes,36
927,2014,April,25,No,34
928,2014,April,25,Yes,43
929,2014,April,26,No,41
930,2014,April,26,Yes,46
931,2014,April,27,No,3
932,2014,April,27,Yes,4
933,2014,April,28,No,37
934,2014,April,28,Yes,36
935,2014,April,29,No,40
936,2014,April,29,Yes,31
937,2014,April,30,No,155
938,2014,April,30,Yes,186
939,2014,May,1,No,18
940,2014,May,1,Yes,15
941,2014,May,2,No,13
942,2014,May,2,Yes,24
943,2014,May,3,No,2
944,2014,May,3,Yes,3
945,2014,May,4,No,13
946,2014,May,4,Yes,22
947,2014,May,5,No,27
948,2014,May,5,Yes,34
949,2014,May,6,No,16
950,2014,May,6,Yes,18
951,2014,May,7,No,19
952,2014,May,7,Yes,24
953,2014,May,8,No,32
954,2014,May,8,Yes,31
955,2014,May,9,No,21
956,2014,May,9,Yes,30
957,2014,May,10,No,3
958,2014,May,10,Yes,12
959,2014,May,11,No,31
960,2014,May,11,Yes,36
961,2014,May,12,No,37
962,2014,May,12,Yes,41
963,2014,May,13,No,31
964,2014,May,13,Yes,31
965,2014,May,14,No,30
966,2014,May,14,Yes,38
967,2014,May,15,No,37
968,2014,May,15,Yes,53
969,2014,May,16,No,27
970,2014,May,16,Yes,27
971,2014,May,17,No,2
972,2014,May,17,Yes,4
973,2014,May,18,No,26
974,2014,May,18,Yes,20
975,2014,May,19,No,24
976,2014,May,19,Yes,42
977,2014,May,20,No,23
978,2014,May,20,Yes,27
979,2014,May,21,No,27
980,2014,May,21,Yes,28
981,2014,May,22,No,33
982,2014,May,22,Yes,17
983,2014,May,23,No,13
984,2014,May,23,Yes,31
985,2014,May,24,Yes,9
986,2014,May,25,No,28
987,2014,May,25,Yes,36
988,2014,May,26,No,47
989,2014,May,26,Yes,26
990,2014,May,27,No,26
991,2014,May,27,Yes,35
992,2014,May,29,No,50
993,2014,May,29,Yes,51
994,2014,May,30,No,80
